male | cat | 12
female | Cats | 29
boy | cats | 26
male | cats | 23
| Cat | 16
| Dog | 12
male | dog | 24
male | Dogs | 31
female | Cats | 29
boy | Cat | 12
female | cat | 12
female | Dogs | 29
male | Cats | 30
boy | Cats | 21
boy | dogs | 14
male | cats | 29
girl | cat | 24
boy | dog | 16
female | dog | 18
boy | Dog | 22
| Cat | 30
girl | dog | 21
girl | cats | 10
female | cat | 22
female | dog | 19
| Cat | 29
boy | dog | 22
girl | Dog | 21
female | Cat | 12
girl | Dog | 15
male | dog | 13
male | Dog | 30
boy | dog | 17
girl | cat | 13
male | Dog | 21
female | Cat | 22
girl | cats | 11
girl | cat | 23
girl | cat | 18
male | cats | 12
girl | cat | 29
female | Dogs | 29
boy | Cats | 15
boy | dog | 14
female | Cats | 19
| Dogs | 14
female | Dogs | 16
female | cat | 22
boy | Cats | 10
male | Cat | 28
girl | dog | 29
boy | Cat | 19
girl | Cats | 22
male | Cat | 26
| Cats | 30
girl | dogs | 28
female | Cats | 21
male | cat | 27
girl | Cat | 10
male | Cat | 21
male | Dog | 11
boy | cat | 14
female | cats | 16
male | Cats | 16
male | dog | 27
female | Dog | 15
female | dog | 24
female | Dogs | 27
girl | cats | 12
girl | dogs | 30
girl | dog | 14
boy | Dog | 28
girl | cat | 25
| Cat | 26
| Cats | 27
female | dogs | 19
girl | Cat | 12
male | Cat | 29
boy | Dog | 16
male | cats | 22
male | dog | 15
boy | cat | 19
boy | cats | 31
boy | Dog | 17
| Cats | 17
male | dog | 13
male | dog | 26
female | Dogs | 24
male | cats | 21
female | dog | 24
male | dogs | 20
male | Dogs | 30
female | cat | 11
| Dogs | 27
boy | cats | 10
boy | dog | 24
boy | cat | 27
girl | Dog | 21
male | dogs | 17
male | Cats | 27
girl | Dog | 15
boy | Cats | 21
female | Dogs | 22
girl | dog | 28
girl | dogs | 16
| Dog | 10
male | cat | 22
female | Cats | 15
male | dogs | 11
boy | cat | 21
boy | Dog | 14
male | Cat | 23
| dogs | 20
female | Cats | 21
girl | dogs | 23
girl | Cats | 19
male | Dogs | 22
female | cats | 20
girl | dog | 24
| cats | 30
boy | cats | 13
male | cats | 20
female | Dogs | 30
female | dogs | 11
girl | cats | 22
girl | cats | 12
male | cat | 11
girl | Cats | 14
female | Cats | 20
male | dog | 28
girl | dogs | 10
boy | Cat | 16
boy | Dogs | 13
male | Cat | 24
male | Dog | 11
male | cat | 21
boy | Cats | 12
girl | cats | 15
girl | Cat | 26
female | dogs | 28
female | cat | 13
male | Dog | 11
girl | Dogs | 30
female | dogs | 19
girl | Cat | 29
female | cat | 22
girl | dogs | 30
female | Cats | 29
male | Cat | 27
male | cat | 16
boy | Dog | 18
boy | dogs | 23
girl | Cats | 21
girl | dog | 31
girl | Dog | 14
girl | Cats | 14
| cats | 11
boy | cats | 17
male | Cats | 15
boy | Cat | 21
female | cats | 20
female | Dogs | 26
boy | dogs | 29
girl | dog | 16
boy | Cats | 20
boy | cats | 30
boy | cats | 20
female | dog | 30
| Cat | 27
girl | Cats | 15
male | cats | 12
female | dog | 24
girl | cats | 10
